source,categorie,sous_categorie,produit,marque_editeur,zone,valeur,devise,date_maj,type_prix,url_source,date_extraction,statut,confiance
DGCCRF Gabon,2300 FCFA,,Edig-Edicef-IPN,Edig-Edicef-IPN,Libreville,2300.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2300 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2300.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2530 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2530.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2300 FCFA,,EVEIL,Edig-Edicef-IPN,Libreville,2300.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2300 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2300.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2530 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2530.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2500 FCFA,,Edig-Edicef-IPN,Edig-Edicef-IPN,Libreville,2500.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2000 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2000.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2750 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2750.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,3300 FCFA,,Edig-Edicef-IPN,Edig-Edicef-IPN,Libreville,3300.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2500 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2500.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,3630 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,3630.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2750 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2750.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,4000 FCFA,,Edig-Edicef-IPN,Edig-Edicef-IPN,Libreville,4000.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
DGCCRF Gabon,2900 FCFA,,Produit (EDIG),EDIG/EDICEF/IPN,Libreville,2900.0,FCFA,2025-10-13,detail,https://www.dgccrf.ga/echo-prix-homologue,2025-10-13T06:32:59.409184+00:00,actif,0.9
