id,nom,marque,format,categorie,sous_categorie,reference_titre,reference_numero
1,Edig-Edicef-IPN,Edig-Edicef-IPN,,2300 FCFA,,Prix homologués EDIG,
2,Produit (EDIG),EDIG/EDICEF/IPN,,2300 FCFA,,Prix homologués EDIG,
3,EVEIL,Edig-Edicef-IPN,,2300 FCFA,,Prix homologués EDIG,
4,Cotis de Porc viandé,,,Produits défiscalisés,,Produits défiscalisés,
5,Cotis de Porc semi viandé,,,Produits défiscalisés,,Produits défiscalisés,
6,Rognons emballage bloc,,,Produits défiscalisés,,Produits défiscalisés,
7,Cuisses de Poulet,,,Produits défiscalisés,,Produits défiscalisés,
8,Pilons de Poulet,,,Produits défiscalisés,,Produits défiscalisés,
9,Ailes de Poulet 3 phalanges B,,,Produits défiscalisés,,Produits défiscalisés,
10,Ailes de Poule,,,Produits défiscalisés,,Produits défiscalisés,
11,Ailes de Dinde 3 phalanges,,,Produits défiscalisés,,Produits défiscalisés,
12,Maquereaux 300g - 500g,,300.0g,Produits défiscalisés,,Produits défiscalisés,
13,Bar Amérique du Sud,,,Produits défiscalisés,,Produits défiscalisés,
14,Tilapia 300g - 500g,,300.0g,Produits défiscalisés,,Produits défiscalisés,
15,Sardines à huile Princesse 125g x 50,,125.0g,Produits défiscalisés,,Produits défiscalisés,
16,Sardines à huile en boîte BELMA 125g x 50,,125.0g,Produits défiscalisés,,Produits défiscalisés,
17,Sardines à la tomate en boîte BELMA 425g x 24,,425.0g,Produits défiscalisés,,Produits défiscalisés,
18,Maquereaux BELMA et Africa Queen Bande Rouge 425g x 24,,425.0g,Produits défiscalisés,,Produits défiscalisés,
19,Maquereaux Africa Queen Bande Bleue 425g x 24,,425.0g,Produits défiscalisés,,Produits défiscalisés,
20,Maquereaux TOMACK 425g x 24,,425.0g,Produits défiscalisés,,Produits défiscalisés,
21,Tomate double concentrée SALSA 70g x 100,,70.0g,Produits défiscalisés,,Produits défiscalisés,
22,Tomate double concentrée ALBA 70g x 100,,70.0g,Produits défiscalisés,,Produits défiscalisés,
23,Tomate double concentrée ABC 70g x 100,,70.0g,Produits défiscalisés,,Produits défiscalisés,
24,Tomate entière pelée SALSA 400g x 24,,400.0g,Produits défiscalisés,,Produits défiscalisés,
